run_name,policy,scenario,setting,log,workloads
2core_main,orig,heterogeneous,nominal,results/logs/phase15/multicore/orig_2core_nominal_mcf_gemsfdtd.txt,mcf;gemsfdtd
2core_main,fdp,heterogeneous,nominal,results/logs/phase15/multicore/fdp_2core_nominal_mcf_gemsfdtd.txt,mcf;gemsfdtd
2core_main,bwc,heterogeneous,nominal,results/logs/phase15/multicore/bwc_2core_nominal_mcf_gemsfdtd.txt,mcf;gemsfdtd
4core_main_nominal,orig,main_mix,nominal,results/logs/phase15/multicore/orig_4core_nominal_mcf_gemsfdtd_leslie3d_lbm.txt,mcf;gemsfdtd;leslie3d;lbm
4core_main_nominal,bwc,main_mix,nominal,results/logs/phase15/multicore/bwc_4core_nominal_mcf_gemsfdtd_leslie3d_lbm.txt,mcf;gemsfdtd;leslie3d;lbm
2core_default,orig,heterogeneous,nominal,results/logs/phase15/multicore/orig_2core_nominal_omnetpp_gemsfdtd.txt,omnetpp;gemsfdtd
2core_default,fdp,heterogeneous,nominal,results/logs/phase15/multicore/fdp_2core_nominal_omnetpp_gemsfdtd.txt,omnetpp;gemsfdtd
2core_default,bwc,heterogeneous,nominal,results/logs/phase15/multicore/bwc_2core_nominal_omnetpp_gemsfdtd.txt,omnetpp;gemsfdtd
4core_default_nominal,orig,main_mix,nominal,results/logs/phase15/multicore/orig_4core_nominal_omnetpp_gemsfdtd_leslie3d_lbm.txt,omnetpp;gemsfdtd;leslie3d;lbm
4core_default_nominal,bwc,main_mix,nominal,results/logs/phase15/multicore/bwc_4core_nominal_omnetpp_gemsfdtd_leslie3d_lbm.txt,omnetpp;gemsfdtd;leslie3d;lbm
4core_4xlbm_stress,orig,4xlbm,stress,results/logs/phase15/multicore/orig_4core_stress_4xlbm.txt,lbm;lbm;lbm;lbm
4core_4xlbm_stress,bwc,4xlbm,stress,results/logs/phase15/multicore/bwc_4core_stress_4xlbm.txt,lbm;lbm;lbm;lbm
2core_default_pilot,orig,heterogeneous,nominal_10Mpilot,results/logs/phase15/multicore/orig_2core_nominal_omnetpp_gemsfdtd_10Mpilot.txt,omnetpp;gemsfdtd
2core_default_pilot,fdp,heterogeneous,nominal_10Mpilot,results/logs/phase15/multicore/fdp_2core_nominal_omnetpp_gemsfdtd_10Mpilot.txt,omnetpp;gemsfdtd
2core_default_pilot,bwc,heterogeneous,nominal_10Mpilot,results/logs/phase15/multicore/bwc_2core_nominal_omnetpp_gemsfdtd_10Mpilot.txt,omnetpp;gemsfdtd
4core_default_nominal_pilot,orig,main_mix,nominal_10Mpilot,results/logs/phase15/multicore/orig_4core_nominal_omnetpp_gemsfdtd_leslie3d_lbm_10Mpilot.txt,omnetpp;gemsfdtd;leslie3d;lbm
4core_default_nominal_pilot,bwc,main_mix,nominal_10Mpilot,results/logs/phase15/multicore/bwc_4core_nominal_omnetpp_gemsfdtd_leslie3d_lbm_10Mpilot.txt,omnetpp;gemsfdtd;leslie3d;lbm
4core_default_stress_pilot,orig,main_mix,stress_10Mpilot,results/logs/phase15/multicore/orig_4core_stress_omnetpp_gemsfdtd_leslie3d_lbm_10Mpilot.txt,omnetpp;gemsfdtd;leslie3d;lbm
4core_default_stress_pilot,bwc,main_mix,stress_10Mpilot,results/logs/phase15/multicore/bwc_4core_stress_omnetpp_gemsfdtd_leslie3d_lbm_10Mpilot.txt,omnetpp;gemsfdtd;leslie3d;lbm
4core_4xlbm_stress_pilot,orig,4xlbm,stress_10Mpilot,results/logs/phase15/multicore/orig_4core_stress_4xlbm_10Mpilot.txt,lbm;lbm;lbm;lbm
4core_4xlbm_stress_pilot,bwc,4xlbm,stress_10Mpilot,results/logs/phase15/multicore/bwc_4core_stress_4xlbm_10Mpilot.txt,lbm;lbm;lbm;lbm
