run_name,policy,policy_family,variant,candidate_id,split,scenario,setting,stable_run,config,binary,log,warmup_instructions,simulation_instructions,workloads,traces
4core_train_mcf_gemsfdtd_leslie3d_lbm,orig,spp,orig,orig,stress_calibration,main_mix,stress_s1,false,results/openevolve/generated_configs/orig_4core_s1.json,champsim_orig_4core_s1,results/openevolve/logs/stress/4core_train_mcf_gemsfdtd_leslie3d_lbm_orig_s1.txt,10000000,30000000,mcf;gemsfdtd;leslie3d;lbm,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz;traces/437.leslie3d-134B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_train_4xlbm,orig,spp,orig,orig,stress_calibration,symmetric,stress_s1,false,results/openevolve/generated_configs/orig_4core_s1.json,champsim_orig_4core_s1,results/openevolve/logs/stress/4core_train_4xlbm_orig_s1.txt,10000000,30000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_train_mcf_gemsfdtd_leslie3d_lbm,fdp,spp,fdp,fdp,stress_calibration,main_mix,stress_s1,false,results/openevolve/generated_configs/fdp_4core_s1.json,champsim_fdp_4core_s1,results/openevolve/logs/stress/4core_train_mcf_gemsfdtd_leslie3d_lbm_fdp_s1.txt,10000000,30000000,mcf;gemsfdtd;leslie3d;lbm,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz;traces/437.leslie3d-134B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_train_4xlbm,fdp,spp,fdp,fdp,stress_calibration,symmetric,stress_s1,false,results/openevolve/generated_configs/fdp_4core_s1.json,champsim_fdp_4core_s1,results/openevolve/logs/stress/4core_train_4xlbm_fdp_s1.txt,10000000,30000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_train_mcf_gemsfdtd_leslie3d_lbm,orig,spp,orig,orig,stress_calibration,main_mix,stress_s2,false,results/openevolve/generated_configs/orig_4core_s2.json,champsim_orig_4core_s2,results/openevolve/logs/stress/4core_train_mcf_gemsfdtd_leslie3d_lbm_orig_s2.txt,10000000,30000000,mcf;gemsfdtd;leslie3d;lbm,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz;traces/437.leslie3d-134B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_train_4xlbm,orig,spp,orig,orig,stress_calibration,symmetric,stress_s2,false,results/openevolve/generated_configs/orig_4core_s2.json,champsim_orig_4core_s2,results/openevolve/logs/stress/4core_train_4xlbm_orig_s2.txt,10000000,30000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_train_mcf_gemsfdtd_leslie3d_lbm,fdp,spp,fdp,fdp,stress_calibration,main_mix,stress_s2,false,results/openevolve/generated_configs/fdp_4core_s2.json,champsim_fdp_4core_s2,results/openevolve/logs/stress/4core_train_mcf_gemsfdtd_leslie3d_lbm_fdp_s2.txt,10000000,30000000,mcf;gemsfdtd;leslie3d;lbm,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz;traces/437.leslie3d-134B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_train_4xlbm,fdp,spp,fdp,fdp,stress_calibration,symmetric,stress_s2,false,results/openevolve/generated_configs/fdp_4core_s2.json,champsim_fdp_4core_s2,results/openevolve/logs/stress/4core_train_4xlbm_fdp_s2.txt,10000000,30000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_train_mcf_gemsfdtd_leslie3d_lbm,orig,spp,orig,orig,stress_calibration,main_mix,stress_s3,false,results/openevolve/generated_configs/orig_4core_s3.json,champsim_orig_4core_s3,results/openevolve/logs/stress/4core_train_mcf_gemsfdtd_leslie3d_lbm_orig_s3.txt,10000000,30000000,mcf;gemsfdtd;leslie3d;lbm,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz;traces/437.leslie3d-134B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_train_4xlbm,orig,spp,orig,orig,stress_calibration,symmetric,stress_s3,false,results/openevolve/generated_configs/orig_4core_s3.json,champsim_orig_4core_s3,results/openevolve/logs/stress/4core_train_4xlbm_orig_s3.txt,10000000,30000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_train_mcf_gemsfdtd_leslie3d_lbm,fdp,spp,fdp,fdp,stress_calibration,main_mix,stress_s3,false,results/openevolve/generated_configs/fdp_4core_s3.json,champsim_fdp_4core_s3,results/openevolve/logs/stress/4core_train_mcf_gemsfdtd_leslie3d_lbm_fdp_s3.txt,10000000,30000000,mcf;gemsfdtd;leslie3d;lbm,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz;traces/437.leslie3d-134B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_train_4xlbm,fdp,spp,fdp,fdp,stress_calibration,symmetric,stress_s3,false,results/openevolve/generated_configs/fdp_4core_s3.json,champsim_fdp_4core_s3,results/openevolve/logs/stress/4core_train_4xlbm_fdp_s3.txt,10000000,30000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
