run_name,policy,policy_family,variant,candidate_id,split,scenario,setting,stable_run,config,binary,log,warmup_instructions,simulation_instructions,workloads,traces
2core_train_mcf_gemsfdtd,orig,spp,orig,orig,train,heterogeneous,nominal_search,false,configs/orig_2core.json,champsim_orig_2core,results/openevolve_official/logs/train/2core_train_mcf_gemsfdtd_orig.txt,10000000,30000000,mcf;gemsfdtd,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz
2core_train_mcf_gemsfdtd,fdp,spp,fdp,fdp,train,heterogeneous,nominal_search,false,configs/fdp_2core.json,champsim_fdp_2core,results/openevolve_official/logs/train/2core_train_mcf_gemsfdtd_fdp.txt,10000000,30000000,mcf;gemsfdtd,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz
2core_train_mcf_gemsfdtd,gsp_tiered_seed,spp,gsp_tiered_seed,seed,train,heterogeneous,nominal_search,false,configs/gsp_tiered_2core.json,champsim_gsp_tiered_2core,results/openevolve_official/logs/train/2core_train_mcf_gemsfdtd_gsp_tiered_seed.txt,10000000,30000000,mcf;gemsfdtd,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz
2core_train_mcf_astar,orig,spp,orig,orig,train,heterogeneous,nominal_search,false,configs/orig_2core.json,champsim_orig_2core,results/openevolve_official/logs/train/2core_train_mcf_astar_orig.txt,10000000,30000000,mcf;astar,traces/429.mcf-51B.champsimtrace.xz;traces/473.astar-42B.champsimtrace.xz
2core_train_mcf_astar,fdp,spp,fdp,fdp,train,heterogeneous,nominal_search,false,configs/fdp_2core.json,champsim_fdp_2core,results/openevolve_official/logs/train/2core_train_mcf_astar_fdp.txt,10000000,30000000,mcf;astar,traces/429.mcf-51B.champsimtrace.xz;traces/473.astar-42B.champsimtrace.xz
2core_train_mcf_astar,gsp_tiered_seed,spp,gsp_tiered_seed,seed,train,heterogeneous,nominal_search,false,configs/gsp_tiered_2core.json,champsim_gsp_tiered_2core,results/openevolve_official/logs/train/2core_train_mcf_astar_gsp_tiered_seed.txt,10000000,30000000,mcf;astar,traces/429.mcf-51B.champsimtrace.xz;traces/473.astar-42B.champsimtrace.xz
4core_train_mcf_gemsfdtd_leslie3d_lbm,orig,spp,orig,orig,train,main_mix,nominal_search,false,configs/orig_4core.json,champsim_orig_4core,results/openevolve_official/logs/train/4core_train_mcf_gemsfdtd_leslie3d_lbm_orig.txt,10000000,30000000,mcf;gemsfdtd;leslie3d;lbm,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz;traces/437.leslie3d-134B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_train_mcf_gemsfdtd_leslie3d_lbm,fdp,spp,fdp,fdp,train,main_mix,nominal_search,false,configs/fdp_4core.json,champsim_fdp_4core,results/openevolve_official/logs/train/4core_train_mcf_gemsfdtd_leslie3d_lbm_fdp.txt,10000000,30000000,mcf;gemsfdtd;leslie3d;lbm,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz;traces/437.leslie3d-134B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_train_mcf_gemsfdtd_leslie3d_lbm,gsp_tiered_seed,spp,gsp_tiered_seed,seed,train,main_mix,nominal_search,false,configs/gsp_tiered_4core.json,champsim_gsp_tiered_4core,results/openevolve_official/logs/train/4core_train_mcf_gemsfdtd_leslie3d_lbm_gsp_tiered_seed.txt,10000000,30000000,mcf;gemsfdtd;leslie3d;lbm,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz;traces/437.leslie3d-134B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_train_4xlbm,orig,spp,orig,orig,train,symmetric,nominal_search,false,configs/orig_4core.json,champsim_orig_4core,results/openevolve_official/logs/train/4core_train_4xlbm_orig.txt,10000000,30000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_train_4xlbm,fdp,spp,fdp,fdp,train,symmetric,nominal_search,false,configs/fdp_4core.json,champsim_fdp_4core,results/openevolve_official/logs/train/4core_train_4xlbm_fdp.txt,10000000,30000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_train_4xlbm,gsp_tiered_seed,spp,gsp_tiered_seed,seed,train,symmetric,nominal_search,false,configs/gsp_tiered_4core.json,champsim_gsp_tiered_4core,results/openevolve_official/logs/train/4core_train_4xlbm_gsp_tiered_seed.txt,10000000,30000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
