run_name,policy,policy_family,variant,candidate_id,split,scenario,setting,stable_run,config,binary,log,warmup_instructions,simulation_instructions,workloads,traces,status,missing_baselines,avg_ipc,weighted_speedup,harmonic_speedup,max_sim_cycles,total_pf_issued,total_pf_useful,pf_accuracy,dram_avg_dbus,rq_row_buffer_hit,rq_row_buffer_miss,total_llc_miss,victim_min_retention,victim_avg_retention,polluter_workload,polluter_pf_issued,polluter_retention_vs_orig,cpu0_workload,cpu0_ipc,cpu0_pf_issued,cpu0_pf_useful,cpu0_pf_accuracy,cpu0_retention_vs_orig,cpu1_workload,cpu1_ipc,cpu1_pf_issued,cpu1_pf_useful,cpu1_pf_accuracy,cpu1_retention_vs_orig,cpu2_workload,cpu2_ipc,cpu2_pf_issued,cpu2_pf_useful,cpu2_pf_accuracy,cpu2_retention_vs_orig,cpu3_workload,cpu3_ipc,cpu3_pf_issued,cpu3_pf_useful,cpu3_pf_accuracy,cpu3_retention_vs_orig,controller_final
2core_train_mcf_gemsfdtd,orig,spp,orig,orig,baseline,heterogeneous,nominal_long,true,configs/orig_2core.json,champsim_orig_2core,results/openevolve_official/profile_runs/baseline_nominal/seed/logs/baseline/2core_train_mcf_gemsfdtd_orig.txt,10000000,50000000,mcf;gemsfdtd,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz,complete,,0.24521,1.2254344784552311,0.5697791264511212,532365620,37886709,2189563,0.05779237779665687,6.049,137884,10203022,12068678,0.45051698670605617,0.45051698670605617,mcf,4733914,0.7749174917491749,mcf,0.09392,4733914,547,0.00011554920516088801,0.7749174917491749,gemsfdtd,0.3965,33152795,2189016,0.0660280980834346,0.45051698670605617,,,,,,,,,,,,,[SPP_ORIG] pf_threshold=25 fill_threshold=90 | [SPP_ORIG] pf_threshold=25 fill_threshold=90
2core_train_mcf_gemsfdtd,fdp,spp,fdp,fdp,baseline,heterogeneous,nominal_long,true,configs/fdp_2core.json,champsim_fdp_2core,results/openevolve_official/profile_runs/baseline_nominal/seed/logs/baseline/2core_train_mcf_gemsfdtd_fdp.txt,10000000,50000000,mcf;gemsfdtd,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz,complete,,0.23703000000000002,1.2234938236466528,0.5573158370796361,519439854,8635602,1718624,0.19901611954789022,6.346,64222,8241164,8391822,0.4292694012044086,0.4292694012044086,mcf,4728383,0.7942244224422442,mcf,0.09626,4728383,490,0.00010362950716978721,0.7942244224422442,gemsfdtd,0.3778,3907219,1718134,0.43973322201801335,0.4292694012044086,,,,,,,,,,,,,[FDP] Final level=1 pf_threshold=80 fill_threshold=90 | [FDP] Final level=1 pf_threshold=80 fill_threshold=90
2core_train_mcf_gemsfdtd,bwc_local,spp,bwc_local,bwc_local,baseline,heterogeneous,nominal_long,true,configs/bwc_2core.json,champsim_bwc_2core,results/openevolve_official/profile_runs/baseline_nominal/seed/logs/baseline/2core_train_mcf_gemsfdtd_bwc_local.txt,10000000,50000000,mcf;gemsfdtd,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz,complete,,0.23549,1.1802948059832685,0.5478260701039243,551411541,37696043,2152677,0.05710617955311649,6.066,146208,10232677,12179289,0.4321099875014203,0.4321099875014203,mcf,1190076,0.7481848184818481,mcf,0.09068,1190076,178,0.00014957027954517192,0.7481848184818481,gemsfdtd,0.3803,36505967,2152499,0.0589629361139783,0.4321099875014203,,,,,,,,,,,,,[BWC_LOCAL] cpu=0 variant_tag=BWC_LOCAL Final level=1 pf_threshold=80 fill_threshold=90 issue_period=4 symmetric_saturation=off symmetric_mode_epochs=0 symmetric_tier1_epochs=0 symmetric_tier2_epochs=0 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0 max_global_max_mshr_util=0 max_global_avg_llc_rq_util=0 max_global_max_llc_rq_util=0 pressure_mode=local | [BWC_PRESSURE] cpu=0 epochs=0 avg_epoch_mshr_util=0 max_epoch_mshr_util=0 avg_epoch_llc_rq_util=0 max_epoch_llc_rq_util=0 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0
2core_train_mcf_gemsfdtd,gsp_tiered_seed,spp,gsp_tiered_seed,seed,baseline,heterogeneous,nominal_long,true,configs/gsp_tiered_2core.json,champsim_gsp_tiered_2core,results/openevolve_official/profile_runs/baseline_nominal/seed/logs/baseline/2core_train_mcf_gemsfdtd_gsp_tiered_seed.txt,10000000,50000000,mcf;gemsfdtd,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz,complete,,0.23549,1.1802948059832685,0.5478260701039243,551411541,37696043,2152677,0.05710617955311649,6.066,146208,10232677,12179289,0.4321099875014203,0.4321099875014203,mcf,1190076,0.7481848184818481,mcf,0.09068,1190076,178,0.00014957027954517192,0.7481848184818481,gemsfdtd,0.3803,36505967,2152499,0.0589629361139783,0.4321099875014203,,,,,,,,,,,,,[BWC_GSP_TIERED] cpu=0 candidate_id=seed variant_tag=BWC_GSP_TIERED Final level=1 pf_threshold=80 fill_threshold=90 issue_period=4 symmetric_mode_epochs=0 symmetric_tier1_epochs=0 symmetric_tier2_epochs=0 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0.25 max_global_max_mshr_util=0.46875 max_global_avg_llc_rq_util=0.21875 max_global_max_llc_rq_util=0.4375 pressure_mode=avg+max | [BWC_PRESSURE] cpu=0 epochs=12009 avg_epoch_mshr_util=0.0447265 max_epoch_mshr_util=0.5 avg_epoch_llc_rq_util=0.0068271 max_epoch_llc_rq_util=0.46875 frac_epoch_avg_mshr_ge_thresh=8.32709e-05 frac_epoch_max_mshr_ge_thresh=0.0612041 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0.0564577
2core_train_mcf_astar,orig,spp,orig,orig,baseline,heterogeneous,nominal_long,true,configs/orig_2core.json,champsim_orig_2core,results/openevolve_official/profile_runs/baseline_nominal/seed/logs/baseline/2core_train_mcf_astar_orig.txt,10000000,50000000,mcf;astar,traces/429.mcf-51B.champsimtrace.xz;traces/473.astar-42B.champsimtrace.xz,complete,,0.29215,1.986759635785007,0.9900241276395515,440726615,10907565,49283,0.0045182403221984005,6.603,15719,5727668,6019930,1.0511160714285714,1.0511160714285714,mcf,4732941,0.9356435643564356,mcf,0.1134,4732941,451,9.528958843983054e-05,0.9356435643564356,astar,0.4709,6174624,48832,0.007908497748202967,1.0511160714285714,,,,,,,,,,,,,[SPP_ORIG] pf_threshold=25 fill_threshold=90 | [SPP_ORIG] pf_threshold=25 fill_threshold=90
2core_train_mcf_astar,fdp,spp,fdp,fdp,baseline,heterogeneous,nominal_long,true,configs/fdp_2core.json,champsim_fdp_2core,results/openevolve_official/profile_runs/baseline_nominal/seed/logs/baseline/2core_train_mcf_astar_fdp.txt,10000000,50000000,mcf;astar,traces/429.mcf-51B.champsimtrace.xz;traces/473.astar-42B.champsimtrace.xz,complete,,0.2885,1.9596313649222066,0.9762601303268096,448227301,9470537,52988,0.005595036479979963,7.448,7780,4558352,4752393,1.0388392857142856,1.0388392857142856,mcf,4727160,0.9207920792079208,mcf,0.1116,4727160,595,0.00012586838609228375,0.9207920792079208,astar,0.4654,4743377,52393,0.011045506186836931,1.0388392857142856,,,,,,,,,,,,,[FDP] Final level=1 pf_threshold=80 fill_threshold=90 | [FDP] Final level=1 pf_threshold=80 fill_threshold=90
2core_train_mcf_astar,bwc_local,spp,bwc_local,bwc_local,baseline,heterogeneous,nominal_long,true,configs/bwc_2core.json,champsim_bwc_2core,results/openevolve_official/profile_runs/baseline_nominal/seed/logs/baseline/2core_train_mcf_astar_bwc_local.txt,10000000,50000000,mcf;astar,traces/429.mcf-51B.champsimtrace.xz;traces/473.astar-42B.champsimtrace.xz,complete,,0.2875,1.9557689474304571,0.974646861824766,447735851,2751213,15553,0.005653142813733433,7.521,7316,4487357,4677779,1.0341517857142857,1.0341517857142857,mcf,1189683,0.9216171617161716,mcf,0.1117,1189683,157,0.0001319679275907952,0.9216171617161716,astar,0.4633,1561530,15396,0.009859560815354171,1.0341517857142857,,,,,,,,,,,,,[BWC_LOCAL] cpu=0 variant_tag=BWC_LOCAL Final level=1 pf_threshold=80 fill_threshold=90 issue_period=4 symmetric_saturation=off symmetric_mode_epochs=0 symmetric_tier1_epochs=0 symmetric_tier2_epochs=0 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0 max_global_max_mshr_util=0 max_global_avg_llc_rq_util=0 max_global_max_llc_rq_util=0 pressure_mode=local | [BWC_PRESSURE] cpu=0 epochs=0 avg_epoch_mshr_util=0 max_epoch_mshr_util=0 avg_epoch_llc_rq_util=0 max_epoch_llc_rq_util=0 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0
2core_train_mcf_astar,gsp_tiered_seed,spp,gsp_tiered_seed,seed,baseline,heterogeneous,nominal_long,true,configs/gsp_tiered_2core.json,champsim_gsp_tiered_2core,results/openevolve_official/profile_runs/baseline_nominal/seed/logs/baseline/2core_train_mcf_astar_gsp_tiered_seed.txt,10000000,50000000,mcf;astar,traces/429.mcf-51B.champsimtrace.xz;traces/473.astar-42B.champsimtrace.xz,complete,,0.2875,1.9557689474304571,0.974646861824766,447735851,2751213,15553,0.005653142813733433,7.521,7316,4487357,4677779,1.0341517857142857,1.0341517857142857,mcf,1189683,0.9216171617161716,mcf,0.1117,1189683,157,0.0001319679275907952,0.9216171617161716,astar,0.4633,1561530,15396,0.009859560815354171,1.0341517857142857,,,,,,,,,,,,,[BWC_GSP_TIERED] cpu=0 candidate_id=seed variant_tag=BWC_GSP_TIERED Final level=1 pf_threshold=80 fill_threshold=90 issue_period=4 symmetric_mode_epochs=0 symmetric_tier1_epochs=0 symmetric_tier2_epochs=0 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0.234375 max_global_max_mshr_util=0.46875 max_global_avg_llc_rq_util=0.21875 max_global_max_llc_rq_util=0.4375 pressure_mode=avg+max | [BWC_PRESSURE] cpu=0 epochs=12009 avg_epoch_mshr_util=0.0437811 max_epoch_mshr_util=0.5 avg_epoch_llc_rq_util=0.00777465 max_epoch_llc_rq_util=0.46875 frac_epoch_avg_mshr_ge_thresh=0.00316429 frac_epoch_max_mshr_ge_thresh=0.0538763 frac_epoch_avg_llc_rq_ge_thresh=8.32709e-05 frac_epoch_max_llc_rq_ge_thresh=0.0467982
4core_train_mcf_gemsfdtd_leslie3d_lbm,orig,spp,orig,orig,baseline,main_mix,nominal_long,true,configs/orig_4core.json,champsim_orig_4core,results/openevolve_official/profile_runs/baseline_nominal/seed/logs/baseline/4core_train_mcf_gemsfdtd_leslie3d_lbm_orig.txt,10000000,50000000,mcf;gemsfdtd;leslie3d;lbm,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz;traces/437.leslie3d-134B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz,complete,,0.4771925,1.719791104923424,0.31315612998569925,1696700038,251995066,11742422,0.04659782505424134,5.942,3353300,51119271,116887229,0.1811157822974662,0.49221309658063533,mcf,4730236,0.24315181518151815,mcf,0.02947,4730236,730,0.00015432633805163208,0.24315181518151815,gemsfdtd,0.1594,51388397,2615336,0.05089351201205984,0.1811157822974662,leslie3d,1.1,129275253,6813993,0.05270918324948086,0.564681724845996,lbm,0.6199,66601180,2312363,0.03471955001397873,0.7308417825984438,[SPP_ORIG] pf_threshold=25 fill_threshold=90 | [SPP_ORIG] pf_threshold=25 fill_threshold=90 | [SPP_ORIG] pf_threshold=25 fill_threshold=90 | [SPP_ORIG] pf_threshold=25 fill_threshold=90
4core_train_mcf_gemsfdtd_leslie3d_lbm,fdp,spp,fdp,fdp,baseline,main_mix,nominal_long,true,configs/fdp_4core.json,champsim_fdp_4core,results/openevolve_official/profile_runs/baseline_nominal/seed/logs/baseline/4core_train_mcf_gemsfdtd_leslie3d_lbm_fdp.txt,10000000,50000000,mcf;gemsfdtd;leslie3d;lbm,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz;traces/437.leslie3d-134B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz,complete,,0.3726925,1.594619896209161,0.36996384460299964,1048891414,21472740,6800758,0.3167158918703435,7.145,1647322,28190996,32324735,0.25974321099875014,0.4004343548419975,mcf,4726086,0.3933168316831683,mcf,0.04767,4726086,691,0.00014620978120161165,0.3933168316831683,gemsfdtd,0.2286,5223527,2474996,0.4738170205686694,0.25974321099875014,leslie3d,0.7366,8674261,3295059,0.3798662502776894,0.37813141683778234,lbm,0.4779,2848866,1030012,0.36155157876853455,0.5634284366894601,[FDP] Final level=1 pf_threshold=80 fill_threshold=90 | [FDP] Final level=1 pf_threshold=80 fill_threshold=90 | [FDP] Final level=1 pf_threshold=80 fill_threshold=90 | [FDP] Final level=1 pf_threshold=80 fill_threshold=90
