file,workload,policy,ipc,ratio_vs_no_pref,role
no_pref_astar_30M.txt,astar,no_pref,0.457,1.0,baseline
orig_astar_30M.txt,astar,orig,0.448,0.9803063457330415,polluter_candidate
no_pref_gemsfdtd_30M.txt,gemsfdtd,no_pref,0.6345,1.0,baseline
orig_gemsfdtd_30M.txt,gemsfdtd,orig,0.8801,1.387076438140268,victim_candidate
no_pref_lbm_50M.txt,lbm,no_pref,0.6019,1.0,baseline
orig_lbm_50M.txt,lbm,orig,0.8482,1.4092041867419836,victim_candidate
no_pref_leslie3d_30M.txt,leslie3d,no_pref,0.9736,1.0,baseline
orig_leslie3d_30M.txt,leslie3d,orig,1.948,2.000821692686935,victim_candidate
no_pref_mcf_50M.txt,mcf,no_pref,0.1163,1.0,baseline
orig_mcf_50M.txt,mcf,orig,0.1212,1.0421324161650902,neutral
no_pref_omnetpp_30M.txt,omnetpp,no_pref,0.253,1.0,baseline
orig_omnetpp_30M.txt,omnetpp,orig,0.2762,1.091699604743083,neutral
